time,ref_x,ref_y,ref_z
2.040000,0.177016,0.000000,0.000000
2.050000,0.183750,0.000000,0.000000
2.060000,0.190720,0.000000,0.000000
2.070000,0.197934,0.000000,0.000000
2.080000,0.205398,0.000000,0.000000
2.090000,0.213120,0.000000,0.000000
2.100000,0.221107,0.000000,0.000000
2.110000,0.229366,0.000000,0.000000
2.120000,0.237904,0.000000,0.000000
2.130000,0.246730,0.000000,0.000000
2.140000,0.255850,0.000000,0.000000
2.150000,0.265272,0.000000,0.000000
2.160000,0.275003,0.000000,0.000000
2.170000,0.285053,0.000000,0.000000
2.180000,0.295427,0.000000,0.000000
2.190000,0.306134,0.000000,0.000000
2.200000,0.317181,0.000000,0.000000
2.210000,0.328577,0.000000,0.000000
2.220000,0.340328,0.000000,0.000000
2.230000,0.352443,0.000000,0.000000
2.240000,0.364928,0.000000,0.000000
2.250000,0.377792,0.000000,0.000000
2.260000,0.391042,0.000000,0.000000
2.270000,0.404686,0.000000,0.000000
2.280000,0.418729,0.000000,0.000000
2.290000,0.433180,0.000000,0.000000
2.300000,0.448046,0.000000,0.000000
2.310000,0.463333,0.000000,0.000000
2.320000,0.479047,0.000000,0.000000
2.330000,0.495196,0.000000,0.000000
2.340000,0.511785,0.000000,0.000000
2.350000,0.528820,0.000000,0.000000
2.360000,0.546308,0.000000,0.000000
2.370000,0.564253,0.000000,0.000000
2.380000,0.582661,0.000000,0.000000
2.390000,0.601536,0.000000,0.000000
2.400000,0.620884,0.000000,0.000000
2.410000,0.640708,0.000000,0.000000
2.420000,0.661012,0.000000,0.000000
2.430000,0.681801,0.000000,0.000000
2.440000,0.703077,0.000000,0.000000
2.450000,0.724843,0.000000,0.000000
2.460000,0.747102,0.000000,0.000000
2.470000,0.769856,0.000000,0.000000
2.480000,0.793107,0.000000,0.000000
2.490000,0.816856,0.000000,0.000000
2.500000,0.841104,0.000000,0.000000
2.510000,0.865851,0.000000,0.000000
2.520000,0.891099,0.000000,0.000000
2.530000,0.916847,0.000000,0.000000
2.540000,0.943093,0.000000,0.000000
2.550000,0.969838,0.000000,0.000000
2.560000,0.997079,0.000000,0.000000
2.570000,1.024816,0.000000,0.000000
2.580000,1.053045,0.000000,0.000000
2.590000,1.081764,0.000000,0.000000
2.600000,1.110971,0.000000,0.000000
2.610000,1.140662,0.000000,0.000000
2.620000,1.170834,0.000000,0.000000
2.630000,1.201481,0.000000,0.000000
2.640000,1.232602,0.000000,0.000000
2.650000,1.264189,0.000000,0.000000
2.660000,1.296240,0.000000,0.000000
2.670000,1.328748,0.000000,0.000000
2.680000,1.361708,0.000000,0.000000
2.690000,1.395114,0.000000,0.000000
2.700000,1.428961,0.000000,0.000000
2.710000,1.463242,0.000000,0.000000
2.720000,1.497951,0.000000,0.000000
2.730000,1.533080,0.000000,0.000000
2.740000,1.568625,0.000000,0.000000
2.750000,1.604577,0.000000,0.000000
2.760000,1.640929,0.000000,0.000000
2.770000,1.677674,0.000000,0.000000
2.780000,1.714806,0.000000,0.000000
2.790000,1.752315,0.000000,0.000000
2.800000,1.790196,0.000000,0.000000
2.810000,1.828440,0.000000,0.000000
2.820000,1.867040,0.000000,0.000000
2.830000,1.905988,0.000000,0.000000
2.840000,1.945277,0.000000,0.000000
2.850000,1.984898,0.000000,0.000000
2.860000,2.024845,0.000000,0.000000
2.870000,2.065108,0.000000,0.000000
2.880000,2.105682,0.000000,0.000000
2.890000,2.146557,0.000000,0.000000
2.900000,2.187727,0.000000,0.000000
2.910000,2.229184,0.000000,0.000000
2.920000,2.270921,0.000000,0.000000
2.930000,2.312929,0.000000,0.000000
2.940000,2.355203,0.000000,0.000000
2.950000,2.397734,0.000000,0.000000
2.960000,2.440516,0.000000,0.000000
2.970000,2.483541,0.000000,0.000000
2.980000,2.526803,0.000000,0.000000
2.990000,2.570294,0.000000,0.000000
3.000000,2.614009,0.000000,0.000000
3.010000,2.657940,0.000000,0.000000
3.020000,2.702081,0.000000,0.000000
3.030000,2.746425,0.000000,0.000000
3.040000,2.790968,0.000000,0.000000
3.050000,2.835701,0.000000,0.000000
3.060000,2.880620,0.000000,0.000000
3.070000,2.925719,0.000000,0.000000
3.080000,2.970991,0.000000,0.000000
3.090000,3.016432,0.000000,0.000000
3.100000,3.062036,0.000000,0.000000
3.110000,3.107797,0.000000,0.000000
3.120000,3.153712,0.000000,0.000000
3.130000,3.199773,0.000000,0.000000
3.140000,3.245977,0.000000,0.000000
3.150000,3.292319,0.000000,0.000000
3.160000,3.338795,0.000000,0.000000
3.170000,3.385399,0.000000,0.000000
3.180000,3.432127,0.000000,0.000000
3.190000,3.478976,0.000000,0.000000
3.200000,3.525940,0.000000,0.000000
3.210000,3.573017,0.000000,0.000000
3.220000,3.620202,0.000000,0.000000
3.230000,3.667490,0.000000,0.000000
3.240000,3.714880,0.000000,0.000000
3.250000,3.762367,0.000000,0.000000
3.260000,3.809947,0.000000,0.000000
3.270000,3.857618,0.000000,0.000000
3.280000,3.905376,0.000000,0.000000
3.290000,3.953218,0.000000,0.000000
3.300000,4.001141,0.000000,0.000000
3.310000,4.049142,0.000000,0.000000
3.320000,4.097219,0.000000,0.000000
3.330000,4.145367,0.000000,0.000000
3.340000,4.193586,0.000000,0.000000
3.350000,4.241873,0.000000,0.000000
3.360000,4.290224,0.000000,0.000000
3.370000,4.338637,0.000000,0.000000
3.380000,4.387111,0.000000,0.000000
3.390000,4.435643,0.000000,0.000000
3.400000,4.484231,0.000000,0.000000
3.410000,4.532872,0.000000,0.000000
3.420000,4.581565,0.000000,0.000000
3.430000,4.630309,0.000000,0.000000
3.440000,4.679100,0.000000,0.000000
3.450000,4.727937,0.000000,0.000000
3.460000,4.776819,0.000000,0.000000
3.470000,4.825744,0.000000,0.000000
3.480000,4.874710,0.000000,0.000000
3.490000,4.923715,0.000000,0.000000
3.500000,4.972759,0.000000,0.000000
3.510000,5.021839,0.000000,0.000000
3.520000,5.070955,0.000000,0.000000
3.530000,5.120105,0.000000,0.000000
3.540000,5.169287,0.000000,0.000000
3.550000,5.218501,0.000000,0.000000
3.560000,5.267745,0.000000,0.000000
3.570000,5.317018,0.000000,0.000000
3.580000,5.366320,0.000000,0.000000
3.590000,5.415648,0.000000,0.000000
3.600000,5.465002,0.000000,0.000000
3.610000,5.514381,0.000000,0.000000
3.620000,5.563784,0.000000,0.000000
3.630000,5.613210,0.000000,0.000000
3.640000,5.662659,0.000000,0.000000
3.650000,5.712128,0.000000,0.000000
3.660000,5.761618,0.000000,0.000000
3.670000,5.811128,0.000000,0.000000
3.680000,5.860657,0.000000,0.000000
3.690000,5.910204,0.000000,0.000000
3.700000,5.959768,0.000000,0.000000
3.710000,6.009350,0.000000,0.000000
3.720000,6.058947,0.000000,0.000000
3.730000,6.108560,0.000000,0.000000
3.740000,6.158189,0.000000,0.000000
3.750000,6.207831,0.000000,0.000000
3.760000,6.257487,0.000000,0.000000
3.770000,6.307157,0.000000,0.000000
3.780000,6.356839,0.000000,0.000000
3.790000,6.406534,0.000000,0.000000
3.800000,6.456240,0.000000,0.000000
3.810000,6.505958,0.000000,0.000000
3.820000,6.555687,0.000000,0.000000
3.830000,6.605426,0.000000,0.000000
3.840000,6.655176,0.000000,0.000000
3.850000,6.704935,0.000000,0.000000
3.860000,6.754703,0.000000,0.000000
3.870000,6.804480,0.000000,0.000000
3.880000,6.854266,0.000000,0.000000
3.890000,6.904060,0.000000,0.000000
3.900000,6.953863,0.000000,0.000000
3.910000,7.003672,0.000000,0.000000
3.920000,7.053490,0.000000,0.000000
3.930000,7.103314,0.000000,0.000000
3.940000,7.153145,0.000000,0.000000
3.950000,7.202982,0.000000,0.000000
3.960000,7.252826,0.000000,0.000000
3.970000,7.302676,0.000000,0.000000
3.980000,7.352531,0.000000,0.000000
3.990000,7.402392,0.000000,0.000000
4.000000,7.452259,0.000000,0.000000
4.010000,7.502130,0.000000,0.000000
4.020000,7.552007,0.000000,0.000000
4.030000,7.601888,0.000000,0.000000
4.040000,7.651774,0.000000,0.000000
4.050000,7.701664,0.000000,0.000000
4.060000,7.751558,0.000000,0.000000
4.070000,7.801457,0.000000,0.000000
4.080000,7.851359,0.000000,0.000000
4.090000,7.901265,0.000000,0.000000
4.100000,7.951175,0.000000,0.000000
4.110000,8.001088,0.000000,0.000000
4.120000,8.051005,0.000000,0.000000
4.130000,8.100924,0.000000,0.000000
4.140000,8.150847,0.000000,0.000000
4.150000,8.200772,0.000000,0.000000
4.160000,8.250701,0.000000,0.000000
4.170000,8.300632,0.000000,0.000000
4.180000,8.350566,0.000000,0.000000
4.190000,8.400502,0.000000,0.000000
4.200000,8.450441,0.000000,0.000000
4.210000,8.500382,0.000000,0.000000
4.220000,8.550325,0.000000,0.000000
4.230000,8.600270,0.000000,0.000000
4.240000,8.650217,0.000000,0.000000
4.250000,8.700167,0.000000,0.000000
4.260000,8.750118,0.000000,0.000000
4.270000,8.800071,0.000000,0.000000
4.280000,8.850026,0.000000,0.000000
4.290000,8.899982,0.000000,0.000000
4.300000,8.949941,0.000000,0.000000
4.310000,8.999900,0.000000,0.000000
4.320000,9.049861,0.000000,0.000000
4.330000,9.099824,0.000000,0.000000
4.340000,9.149788,0.000000,0.000000
4.350000,9.199753,0.000000,0.000000
4.360000,9.249720,0.000000,0.000000
4.370000,9.299688,0.000000,0.000000
4.380000,9.349657,0.000000,0.000000
4.390000,9.399627,0.000000,0.000000
4.400000,9.449598,0.000000,0.000000
4.410000,9.499570,0.000000,0.000000
4.420000,9.549543,0.000000,0.000000
4.430000,9.599517,0.000000,0.000000
4.440000,9.649492,0.000000,0.000000
4.450000,9.699468,0.000000,0.000000
4.460000,9.749445,0.000000,0.000000
4.470000,9.799423,0.000000,0.000000
4.480000,9.849401,0.000000,0.000000
4.490000,9.899381,0.000000,0.000000
4.500000,9.949360,0.000000,0.000000
4.510000,9.999341,0.000000,0.000000
4.520000,10.049322,0.000000,0.000000
4.530000,10.099304,0.000000,0.000000
4.540000,10.149287,0.000000,0.000000
4.550000,10.199270,0.000000,0.000000
4.560000,10.249254,0.000000,0.000000
4.570000,10.299238,0.000000,0.000000
4.580000,10.349223,0.000000,0.000000
4.590000,10.399208,0.000000,0.000000
4.600000,10.449194,0.000000,0.000000
4.610000,10.499180,0.000000,0.000000
4.620000,10.549167,0.000000,0.000000
4.630000,10.599154,0.000000,0.000000
4.640000,10.649142,0.000000,0.000000
4.650000,10.699130,0.000000,0.000000
4.660000,10.749118,0.000000,0.000000
4.670000,10.799107,0.000000,0.000000
4.680000,10.849096,0.000000,0.000000
4.690000,10.899085,0.000000,0.000000
4.700000,10.949075,0.000000,0.000000
4.710000,10.999065,0.000000,0.000000
4.720000,11.049055,0.000000,0.000000
4.730000,11.099046,0.000000,0.000000
4.740000,11.149037,0.000000,0.000000
4.750000,11.199028,0.000000,0.000000
4.760000,11.249019,0.000000,0.000000
4.770000,11.299011,0.000000,0.000000
4.780000,11.349003,0.000000,0.000000
4.790000,11.398995,0.000000,0.000000
4.800000,11.448987,0.000000,0.000000
4.810000,11.498980,0.000000,0.000000
4.820000,11.548973,0.000000,0.000000
4.830000,11.598966,0.000000,0.000000
4.840000,11.648959,0.000000,0.000000
4.850000,11.698952,0.000000,0.000000
4.860000,11.748946,0.000000,0.000000
4.870000,11.798939,0.000000,0.000000
4.880000,11.848933,0.000000,0.000000
4.890000,11.898927,0.000000,0.000000
4.900000,11.948921,0.000000,0.000000
4.910000,11.998916,0.000000,0.000000
4.920000,12.048910,0.000000,0.000000
4.930000,12.098905,0.000000,0.000000
4.940000,12.148899,0.000000,0.000000
4.950000,12.198894,0.000000,0.000000
4.960000,12.248889,0.000000,0.000000
4.970000,12.298884,0.000000,0.000000
4.980000,12.348879,0.000000,0.000000
4.990000,12.398874,0.000000,0.000000
5.000000,12.448870,0.000000,0.000000
5.010000,12.498865,0.000000,0.000000
5.020000,12.548860,0.000000,0.000000
5.030000,12.598856,0.000000,0.000000
5.040000,12.648851,0.000000,0.000000
5.050000,12.698846,0.000000,0.000000
5.060000,12.748841,0.000000,0.000000
5.070000,12.798837,0.000000,0.000000
5.080000,12.848832,0.000000,0.000000
5.090000,12.898827,0.000000,0.000000
5.100000,12.948822,0.000000,0.000000
5.110000,12.998817,0.000000,0.000000
5.120000,13.048811,0.000000,0.000000
5.130000,13.098806,0.000000,0.000000
5.140000,13.148801,0.000000,0.000000
5.150000,13.198796,0.000000,0.000000
5.160000,13.248790,0.000000,0.000000
5.170000,13.298785,0.000000,0.000000
5.180000,13.348780,0.000000,0.000000
5.190000,13.398774,0.000000,0.000000
5.200000,13.448768,0.000000,0.000000
5.210000,13.498763,0.000000,0.000000
5.220000,13.548757,0.000000,0.000000
5.230000,13.598751,0.000000,0.000000
5.240000,13.648745,0.000000,0.000000
5.250000,13.698739,0.000000,0.000000
5.260000,13.748733,0.000000,0.000000
5.270000,13.798727,0.000000,0.000000
5.280000,13.848720,0.000000,0.000000
5.290000,13.898714,0.000000,0.000000
5.300000,13.948707,0.000000,0.000000
5.310000,13.998701,0.000000,0.000000
5.320000,14.048694,0.000000,0.000000
5.330000,14.098687,0.000000,0.000000
5.340000,14.148680,0.000000,0.000000
5.350000,14.198673,0.000000,0.000000
5.360000,14.248665,0.000000,0.000000
5.370000,14.298658,0.000000,0.000000
5.380000,14.348650,0.000000,0.000000
5.390000,14.398642,0.000000,0.000000
5.400000,14.448634,0.000000,0.000000
5.410000,14.498626,0.000000,0.000000
5.420000,14.548618,0.000000,0.000000
5.430000,14.598609,0.000000,0.000000
5.440000,14.648601,0.000000,0.000000
5.450000,14.698592,0.000000,0.000000
5.460000,14.748583,0.000000,0.000000
5.470000,14.798573,0.000000,0.000000
5.480000,14.848564,0.000000,0.000000
5.490000,14.898554,0.000000,0.000000
5.500000,14.948544,0.000000,0.000000
5.510000,14.998534,0.000000,0.000000
5.520000,15.048523,0.000000,0.000000
5.530000,15.098512,0.000000,0.000000
5.540000,15.148501,0.000000,0.000000
5.550000,15.198490,0.000000,0.000000
5.560000,15.248478,0.000000,0.000000
5.570000,15.298466,0.000000,0.000000
5.580000,15.348454,0.000000,0.000000
5.590000,15.398441,0.000000,0.000000
5.600000,15.448428,0.000000,0.000000
5.610000,15.498414,0.000000,0.000000
5.620000,15.548400,0.000000,0.000000
5.630000,15.598386,0.000000,0.000000
5.640000,15.648371,0.000000,0.000000
5.650000,15.698356,0.000000,0.000000
5.660000,15.748340,0.000000,0.000000
5.670000,15.798324,0.000000,0.000000
5.680000,15.848307,0.000000,0.000000
5.690000,15.898290,0.000000,0.000000
5.700000,15.948272,0.000000,0.000000
5.710000,15.998254,0.000000,0.000000
5.720000,16.048235,0.000000,0.000000
5.730000,16.098215,0.000000,0.000000
5.740000,16.148195,0.000000,0.000000
5.750000,16.198174,0.000000,0.000000
5.760000,16.248153,0.000000,0.000000
5.770000,16.298130,0.000000,0.000000
5.780000,16.348107,0.000000,0.000000
5.790000,16.398083,0.000000,0.000000
5.800000,16.448059,0.000000,0.000000
5.810000,16.498033,0.000000,0.000000
5.820000,16.548007,0.000000,0.000000
5.830000,16.597979,0.000000,0.000000
5.840000,16.647951,0.000000,0.000000
5.850000,16.697922,0.000000,0.000000
5.860000,16.747891,0.000000,0.000000
5.870000,16.797860,0.000000,0.000000
5.880000,16.847827,0.000000,0.000000
5.890000,16.897794,0.000000,0.000000
5.900000,16.947759,0.000000,0.000000
5.910000,16.997722,0.000000,0.000000
5.920000,17.047685,0.000000,0.000000
5.930000,17.097646,0.000000,0.000000
5.940000,17.147605,0.000000,0.000000
5.950000,17.197564,0.000000,0.000000
5.960000,17.247520,0.000000,0.000000
5.970000,17.297475,0.000000,0.000000
5.980000,17.347428,0.000000,0.000000
5.990000,17.397380,0.000000,0.000000
6.000000,17.447329,0.000000,0.000000
6.010000,17.497277,0.000000,0.000000
6.020000,17.547223,0.000000,0.000000
6.030000,17.597167,0.000000,0.000000
6.040000,17.647108,0.000000,0.000000
6.050000,17.697048,0.000000,0.000000
6.060000,17.746985,0.000000,0.000000
6.070000,17.796920,0.000000,0.000000
6.080000,17.846852,0.000000,0.000000
6.090000,17.896781,0.000000,0.000000
6.100000,17.946708,0.000000,0.000000
6.110000,17.996632,0.000000,0.000000
6.120000,18.046553,0.000000,0.000000
6.130000,18.096471,0.000000,0.000000
6.140000,18.146386,0.000000,0.000000
