time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
3.040000,1.864120,9.787285,0.053493,-0.002231,-0.016273,0.003247
3.050000,1.770464,9.770380,0.041894,0.015789,-0.003816,-0.007152
3.060000,1.733350,9.810161,0.080305,0.002453,-0.004003,-0.000875
3.070000,1.766467,9.803889,-0.003168,-0.007341,0.001169,-0.000293
3.080000,1.648373,9.839457,0.068685,-0.001748,-0.022710,-0.008774
3.090000,1.529283,9.914176,0.054061,0.006052,0.002916,0.018771
3.100000,1.511722,9.903997,-0.003240,-0.009049,0.015385,-0.007272
3.110000,1.500655,9.845566,0.041659,0.019579,0.005729,-0.016952
3.120000,1.477176,9.763880,0.002454,0.022074,0.004343,0.015433
3.130000,1.350738,9.852922,0.095182,-0.002168,0.003496,-0.018059
3.140000,1.394781,9.888433,-0.028558,0.016989,-0.017598,0.016243
3.150000,1.311268,9.725068,0.063112,0.002452,0.008961,0.003554
3.160000,1.265434,9.853721,0.049455,0.000164,-0.011671,0.002648
3.170000,1.201941,9.843239,-0.015262,0.003708,0.017390,-0.001196
3.180000,1.214888,9.788558,-0.022002,0.006967,-0.006786,-0.001882
3.190000,1.213446,9.705051,0.018837,-0.010751,-0.014670,-0.002424
3.200000,1.098245,9.802828,-0.035838,-0.011105,0.009223,-0.002519
3.210000,1.034103,9.829523,0.082812,0.003301,0.011131,0.001173
3.220000,0.913397,9.825107,0.044138,-0.004122,-0.004632,0.000306
3.230000,0.934813,9.837610,-0.001580,-0.007001,-0.009930,0.009849
3.240000,0.975411,9.762388,0.017193,-0.026552,-0.009403,-0.003893
3.250000,0.979899,9.894648,-0.002994,0.003820,-0.016081,0.005743
3.260000,0.892214,9.861404,-0.008423,0.002762,0.001873,-0.005160
3.270000,0.890238,9.810703,-0.010926,-0.026481,-0.001333,0.001591
3.280000,0.842591,9.858666,-0.005303,-0.007074,0.003370,-0.015110
3.290000,0.829189,9.806786,-0.028391,-0.000130,0.011438,-0.011326
3.300000,0.760169,9.785728,-0.013867,-0.007517,0.014829,-0.008379
3.310000,0.737747,9.822262,0.004879,0.001757,-0.004903,0.001240
3.320000,0.692040,9.773073,-0.040434,-0.002190,-0.007286,0.019380
3.330000,0.744184,9.858554,-0.049283,0.017079,0.003932,-0.006312
3.340000,0.674081,9.768902,0.035459,0.009808,-0.009363,-0.001003
3.350000,0.665924,9.742071,-0.008955,0.003711,-0.012763,0.011497
3.360000,0.618103,9.709639,-0.032580,0.000266,0.000684,0.032166
3.370000,0.615118,9.855303,0.039180,0.004483,-0.015626,0.004230
3.380000,0.634630,9.761469,0.030552,-0.002572,-0.000796,-0.004282
3.390000,0.549690,9.837713,-0.131907,0.002249,0.012827,0.016785
3.400000,0.513560,9.817391,-0.045975,-0.014326,-0.008813,-0.004729
3.410000,0.503211,9.890666,-0.022596,0.010082,0.016933,-0.000159
3.420000,0.470449,9.887419,-0.005516,-0.000034,0.010700,-0.005965
3.430000,0.489610,9.741596,-0.000420,-0.009652,0.000799,-0.010183
3.440000,0.434478,9.685585,0.055539,-0.003835,-0.005193,-0.004947
3.450000,0.475539,9.811130,0.032069,-0.014038,-0.003404,-0.004009
3.460000,0.370215,9.848684,0.006549,0.008388,0.001131,-0.010789
3.470000,0.426410,9.763997,-0.065969,0.001881,-0.007755,-0.005439
3.480000,0.403755,9.793473,-0.061608,-0.015635,-0.017942,-0.001787
3.490000,0.396054,9.766973,0.008166,-0.010857,-0.004900,0.006112
3.500000,0.360309,9.861062,-0.018761,-0.013437,-0.019158,-0.007201
3.510000,0.285686,9.870450,-0.021698,-0.000009,-0.003277,-0.002340
3.520000,0.286335,9.817753,-0.010972,0.002553,0.003498,0.002043
3.530000,0.274487,9.765115,0.040861,0.004167,0.006562,-0.012561
3.540000,0.300103,9.832534,0.091614,-0.009049,-0.018037,0.007394
3.550000,0.239403,9.864792,-0.016272,-0.004606,0.015398,0.000372
3.560000,0.413093,9.808979,0.017923,0.008203,0.002804,0.013570
3.570000,0.270927,9.758693,-0.004723,-0.016098,-0.003709,-0.000764
3.580000,0.245938,9.801967,-0.051647,-0.003032,0.002137,-0.007390
3.590000,0.215369,9.941866,0.063967,-0.012000,-0.011713,-0.002952
3.600000,0.238536,9.844699,-0.028715,0.013849,-0.004876,0.014711
3.610000,0.234192,9.770017,-0.010723,-0.016428,0.003820,-0.005497
3.620000,0.131504,9.897343,-0.028407,0.010794,-0.000397,0.009518
3.630000,0.297432,9.744472,0.045878,0.010767,0.004472,0.006158
3.640000,0.227129,9.842354,-0.006066,-0.009118,0.006755,-0.013678
3.650000,0.200360,9.881016,0.062903,-0.013191,0.011791,-0.007662
3.660000,0.078995,9.770189,-0.024654,0.006775,-0.001094,-0.020143
3.670000,0.208098,9.800962,0.000241,0.010723,0.019052,0.007246
3.680000,0.158940,9.890057,-0.071196,-0.014095,0.006247,-0.001729
3.690000,0.183222,9.868980,-0.050221,0.005710,-0.000305,-0.002315
3.700000,0.238225,9.802260,-0.034556,-0.002053,0.009482,0.014772
3.710000,0.137729,9.796121,-0.052644,0.008118,0.002245,-0.008641
3.720000,0.084651,9.748997,-0.015005,0.005561,-0.027155,-0.010111
3.730000,0.178892,9.828245,-0.011677,0.000626,-0.015293,-0.001042
3.740000,0.200569,9.863732,0.023044,0.000395,-0.003321,-0.005858
3.750000,0.149025,9.846607,-0.024940,0.013371,0.014395,-0.017303
3.760000,0.018016,9.759545,-0.028044,0.007668,-0.003058,-0.003885
3.770000,0.209175,9.848603,0.032606,-0.003395,0.002985,-0.014843
3.780000,0.092620,9.877796,0.063166,0.011649,0.000129,-0.006479
3.790000,0.080715,9.787433,0.076078,-0.000268,0.010213,-0.020141
3.800000,0.244523,9.841376,0.054787,-0.004616,-0.011740,-0.005007
3.810000,0.040371,9.819653,0.025336,-0.009579,-0.005076,-0.004243
3.820000,0.126710,9.814014,0.008382,0.008396,-0.005121,-0.001403
3.830000,0.020651,9.777133,-0.068651,0.010159,0.002150,0.015780
3.840000,0.117831,9.833140,-0.060720,0.007119,-0.002242,-0.012988
3.850000,0.127343,9.751488,0.067471,0.003925,-0.011442,0.007110
3.860000,0.140992,9.837354,-0.110768,-0.012906,0.004616,0.006245
3.870000,-0.032419,9.762056,0.027376,-0.004984,0.009533,-0.007764
3.880000,0.178731,9.871486,0.042446,-0.004187,0.003862,0.007050
3.890000,0.130916,9.829322,-0.075684,0.004160,-0.025639,0.007279
