time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2.630000,4.711762,9.828254,-0.044033,0.008937,-0.010923,-0.005924
2.640000,4.581021,9.891910,-0.002148,0.001314,-0.005981,0.022677
2.650000,4.590134,9.843994,-0.016527,-0.002173,0.025483,-0.004441
2.660000,4.418243,9.781796,0.081758,0.008719,-0.009282,0.006045
2.670000,4.503155,9.717577,0.023969,0.000165,-0.006973,-0.016200
2.680000,4.416598,9.819064,-0.032992,-0.017931,0.002035,-0.010235
2.690000,4.442289,9.779903,-0.111537,-0.001739,-0.014716,0.012856
2.700000,4.322832,9.800565,-0.007458,0.004138,-0.001046,0.003990
2.710000,4.201315,9.741014,0.018603,-0.007091,-0.015553,0.003515
2.720000,4.142136,9.941284,-0.096355,-0.005372,0.014966,0.017724
2.730000,4.150055,9.761319,0.022684,-0.002169,-0.006687,-0.004732
2.740000,4.028483,9.744028,-0.055931,0.000331,-0.004168,0.004894
2.750000,3.981599,9.832894,0.032744,0.009334,-0.006220,-0.002073
2.760000,3.900715,9.806284,0.085234,-0.001763,-0.009941,-0.002491
2.770000,3.831155,9.814443,-0.070258,0.008564,0.001083,-0.012686
2.780000,3.763284,9.774095,0.055711,0.011205,0.001406,-0.001892
2.790000,3.653008,9.916139,-0.050586,-0.010860,-0.008348,-0.009147
2.800000,3.505751,9.860219,-0.040740,-0.002074,-0.012402,0.000735
2.810000,3.532463,9.776536,0.072278,0.003886,-0.012129,0.010918
2.820000,3.441255,9.858891,0.002946,-0.006125,-0.018461,0.003164
2.830000,3.317430,9.810187,-0.049684,-0.003685,-0.010491,-0.010606
2.840000,3.239071,9.800293,-0.032036,-0.007688,-0.001616,0.003488
2.850000,3.218744,9.778536,0.007962,0.006090,0.008179,-0.005189
2.860000,3.204468,9.861538,-0.037305,0.002408,-0.006711,0.000034
2.870000,3.090988,9.766986,0.077797,0.010453,0.014128,-0.014666
2.880000,2.931303,9.822506,0.001660,0.009660,0.000184,-0.003926
2.890000,2.841699,9.756718,0.063205,-0.009262,-0.000625,-0.039283
2.900000,2.916938,9.848807,0.031940,0.005290,-0.002127,0.012912
2.910000,2.805207,9.817829,0.034989,0.006073,0.013985,0.004188
2.920000,2.728282,9.745270,0.019054,0.002198,-0.000704,0.004590
2.930000,2.671244,9.740347,-0.027774,0.002971,-0.001598,-0.004648
2.940000,2.516873,9.814248,0.037119,-0.014032,0.016557,-0.007647
2.950000,2.415746,9.946959,-0.077433,0.006627,0.006521,0.004429
2.960000,2.409804,9.755639,0.021718,-0.006635,0.003939,0.000143
2.970000,2.339883,9.825416,0.035278,0.010239,0.001991,-0.001928
2.980000,2.205724,9.772605,0.006850,0.017838,0.012283,-0.010768
2.990000,2.252491,9.773064,0.005581,0.014546,0.011479,0.007907
3.000000,2.173031,9.778952,0.025422,-0.021980,0.005335,0.014742
3.010000,2.087545,9.775265,-0.008203,0.007935,-0.013957,-0.008828
3.020000,2.022265,9.781001,0.045612,0.012840,-0.008917,-0.007551
3.030000,1.999553,9.877977,-0.010417,0.007137,-0.000292,0.000168
3.040000,1.838581,9.802417,0.017526,0.000894,0.005085,0.005130
3.050000,1.837836,9.773238,-0.034846,0.019155,0.009811,0.002522
3.060000,1.646456,9.836849,-0.035895,-0.002102,0.000912,0.004079
3.070000,1.746168,9.777350,-0.112838,-0.005419,0.016063,0.016478
3.080000,1.714681,9.854796,-0.036371,-0.006637,0.004417,-0.009936
3.090000,1.541618,9.861979,0.066673,0.004396,-0.002660,0.009444
3.100000,1.569168,9.787016,0.033751,0.008495,0.002186,-0.003570
3.110000,1.564445,9.855873,-0.015194,-0.007945,0.004664,0.000197
3.120000,1.449849,9.794305,0.031470,-0.012305,-0.000679,-0.010539
3.130000,1.355434,9.809995,-0.029776,-0.003687,0.006316,0.001693
3.140000,1.354487,9.827743,0.009880,-0.013014,0.001867,-0.014652
3.150000,1.346969,9.826080,-0.002995,0.006002,-0.004014,0.004182
3.160000,1.255783,9.889878,-0.109771,-0.008114,0.019279,0.004939
3.170000,1.249647,9.800885,0.003179,-0.006510,-0.006362,0.020275
3.180000,1.189328,9.843300,0.030353,-0.023866,0.003063,-0.008200
3.190000,1.182895,9.827617,0.059940,0.005313,0.005498,-0.000477
3.200000,1.165648,9.823032,0.059266,-0.007310,-0.000670,-0.007736
3.210000,1.051134,9.819867,-0.064954,0.006521,-0.003674,-0.006472
3.220000,0.996325,9.890287,0.024459,-0.004002,0.006108,-0.002890
3.230000,0.863075,9.773880,-0.051076,-0.018861,0.011109,0.009612
3.240000,0.987930,9.820284,0.084062,0.004810,-0.006358,-0.006664
3.250000,0.907547,9.835428,-0.017687,-0.006519,0.010536,-0.003066
3.260000,0.874231,9.680639,0.063274,-0.003642,0.004045,0.002495
3.270000,0.828791,9.791012,0.053885,0.006994,-0.004932,-0.015176
3.280000,0.780940,9.839744,0.111597,-0.000769,0.003302,0.002038
3.290000,0.898223,9.806930,-0.037697,0.002498,0.016127,0.009210
3.300000,0.727467,9.816111,-0.032784,-0.004817,-0.003831,-0.003221
3.310000,0.763981,9.749422,0.018336,0.000246,0.017905,-0.011159
3.320000,0.664567,9.779663,-0.020341,-0.000100,0.007511,0.005199
3.330000,0.741359,9.797362,0.067483,0.008260,-0.008493,0.001760
3.340000,0.712456,9.887241,-0.106338,0.000432,-0.003062,0.006018
3.350000,0.637496,9.829488,-0.030860,-0.004710,-0.007172,0.002933
3.360000,0.593326,9.771632,0.026752,-0.006194,-0.006545,-0.015359
3.370000,0.664424,9.777655,-0.053521,0.013401,0.004349,0.001719
3.380000,0.575481,9.857142,0.004464,0.004682,0.004706,-0.008652
3.390000,0.566456,9.752232,-0.034573,0.007452,-0.015895,0.002269
3.400000,0.537112,9.840132,0.021085,0.002245,-0.013922,-0.010100
3.410000,0.469048,9.839707,-0.021372,-0.002035,-0.001639,-0.008646
3.420000,0.510735,9.769178,-0.021587,0.002311,0.006337,-0.004018
3.430000,0.445742,9.889501,-0.034925,-0.006109,-0.011184,0.003251
3.440000,0.475342,9.743834,-0.003570,-0.013058,-0.004487,-0.014719
3.450000,0.467103,9.819673,0.008493,0.004425,0.006289,0.011222
3.460000,0.405150,9.786269,0.083590,-0.001346,-0.002181,-0.013723
3.470000,0.494017,9.797977,0.039779,0.001524,-0.001952,0.003474
3.480000,0.490780,9.787945,0.060336,-0.005722,-0.000639,-0.004453
3.490000,0.374272,9.866325,0.001659,0.026228,-0.005352,-0.000449
3.500000,0.349850,9.770219,-0.053808,0.003227,-0.001077,-0.003420
3.510000,0.280213,9.859428,-0.034970,-0.000544,-0.003290,0.011756
3.520000,0.285663,9.822828,0.042279,-0.023513,0.012205,-0.004070
3.530000,0.308269,9.819775,0.018893,0.004093,0.018466,-0.018231
3.540000,0.301801,9.831597,-0.003715,-0.007076,-0.002557,0.012125
3.550000,0.246099,9.826694,-0.033569,0.012762,0.007529,-0.006193
3.560000,0.239736,9.853358,0.070815,0.006001,-0.006366,0.001152
3.570000,0.262230,9.705325,-0.017086,-0.004799,-0.004808,-0.011235
3.580000,0.278167,9.833615,0.002802,-0.002252,0.008182,-0.005383
3.590000,0.268149,9.840319,-0.012164,0.003215,0.013782,-0.007123
3.600000,0.271683,9.875576,0.023917,-0.019480,-0.000255,-0.023222
3.610000,0.271728,9.840907,-0.020215,0.004284,-0.000683,0.004674
3.620000,0.221095,9.797123,0.072970,-0.007970,0.006035,-0.001468
3.630000,0.240902,9.811323,0.047509,-0.008191,-0.008958,0.013664
3.640000,0.115688,9.744039,-0.058840,-0.004121,0.004365,-0.014455
3.650000,0.254603,9.762206,0.043198,0.000432,0.005984,-0.004012
3.660000,0.204152,9.782684,-0.004241,0.009640,0.012871,0.010384
3.670000,0.200470,9.783081,-0.001337,0.003175,-0.004707,-0.006442
3.680000,0.173773,9.805046,-0.021666,-0.000454,0.012391,-0.003170
3.690000,0.159946,9.902275,-0.019180,0.010275,0.008974,0.001270
3.700000,0.222730,9.855067,0.028111,-0.002156,-0.001520,-0.003305
3.710000,0.131390,9.819323,-0.022655,-0.005541,0.002662,0.005213
3.720000,0.195075,9.786389,-0.044902,0.004285,-0.005265,-0.007671
3.730000,0.155078,9.885217,0.019343,-0.030900,0.010689,-0.013987
3.740000,0.099104,9.733379,-0.016923,0.000388,-0.005262,0.008730
3.750000,0.147267,9.825790,-0.027810,-0.001942,0.004588,-0.006804
3.760000,0.030102,9.796612,0.075545,0.006030,0.016426,0.026850
3.770000,0.177516,9.804661,-0.028013,-0.001379,-0.013127,0.002389
3.780000,0.163876,9.818371,-0.018757,-0.017388,0.003634,0.002293
3.790000,0.191219,9.818644,0.056949,-0.000776,0.002720,0.006020
3.800000,0.118868,9.805695,0.052635,-0.004452,0.003631,-0.008983
3.810000,0.107966,9.830404,-0.039594,0.003489,-0.018857,0.002111
3.820000,0.135083,9.843214,0.032728,0.008807,0.003335,0.011182
3.830000,0.069475,9.797317,0.032368,-0.002161,0.021115,0.002439
3.840000,0.057856,9.809571,0.049056,0.004238,0.012725,-0.012471
3.850000,0.098701,9.881324,-0.017585,-0.003835,0.011064,0.008902
3.860000,0.105716,9.805964,0.033933,0.012934,0.008289,-0.009334
3.870000,0.132571,9.760731,0.061101,0.007866,0.000902,-0.009233
3.880000,0.011349,9.801050,-0.055486,-0.009922,-0.007345,0.012451
3.890000,0.091124,9.832616,-0.014542,0.015189,-0.009623,-0.010351
3.900000,0.030655,9.847199,0.033200,-0.013293,-0.010062,-0.006857
3.910000,0.084147,9.743151,0.021837,0.010658,0.004108,-0.008321
3.920000,0.143324,9.774736,0.095081,0.007598,-0.006346,0.009619
3.930000,0.104229,9.758592,0.020447,-0.007050,-0.001624,0.007148
3.940000,0.106463,9.821948,0.017871,-0.001930,0.004190,0.008477
3.950000,0.007665,9.835237,-0.036860,0.005799,0.004127,0.001175
3.960000,-0.020271,9.790089,0.015265,-0.001157,-0.002902,-0.004795
3.970000,0.114175,9.775593,-0.011789,0.004982,-0.004282,-0.001289
3.980000,-0.005042,9.728792,0.082097,-0.007430,0.002497,-0.001794
3.990000,0.126091,9.955027,0.117638,0.005799,-0.006789,0.003617
4.000000,0.041001,9.808174,-0.016914,0.020396,0.001066,-0.008949
4.010000,0.064778,9.794356,0.011642,-0.010403,-0.004899,0.000921
4.020000,0.114597,9.768985,-0.052117,-0.008286,-0.011182,0.004228
4.030000,0.111089,9.842752,0.063036,0.009773,0.008351,0.005210
4.040000,0.079546,9.806615,0.016763,-0.017357,0.011427,-0.000746
4.050000,0.111171,9.835636,0.104569,-0.016808,-0.003792,0.009549
4.060000,0.030434,9.788128,-0.053371,0.006009,-0.008378,0.000963
4.070000,0.069221,9.868716,-0.100426,0.005318,0.002936,-0.013708
4.080000,0.098555,9.788292,0.065758,0.007679,0.004687,0.007182
4.090000,0.063540,9.703168,-0.079369,0.004358,0.019981,-0.015805
4.100000,-0.023346,9.778393,-0.057153,-0.001367,-0.012514,0.003974
4.110000,0.086969,9.724298,-0.014207,0.023717,0.003312,0.002147
4.120000,0.172770,9.835944,0.041486,-0.020738,-0.002006,-0.020076
4.130000,0.193483,9.811384,-0.027215,0.010731,0.006267,0.002033
4.140000,0.130650,9.837213,0.003456,0.001546,0.009790,-0.002515
4.150000,0.022176,9.887429,0.014775,-0.002095,-0.013019,0.006559
4.160000,0.031580,9.713238,-0.005160,0.006487,-0.003003,0.004570
4.170000,0.019428,9.758336,0.016046,0.014230,-0.014793,-0.013541
4.180000,0.007943,9.759937,-0.060815,0.003438,0.016357,-0.000926
4.190000,-0.009834,9.770262,0.018100,-0.003510,0.011444,0.011840
4.200000,0.045136,9.778885,0.032774,-0.000974,-0.002775,-0.009480
4.210000,0.021052,9.865704,-0.061250,0.018002,-0.019994,0.011959
4.220000,0.060714,9.800556,0.023173,0.004928,0.005263,0.003365
4.230000,0.027550,9.886716,0.046446,-0.012497,-0.008599,0.000466
4.240000,0.011514,9.834883,0.000873,0.004775,-0.007958,-0.012090
4.250000,-0.020251,9.775114,0.051910,0.004112,-0.007423,0.006931
4.260000,0.084533,9.777785,-0.039883,-0.015943,-0.014698,-0.006988
4.270000,0.090640,9.794261,0.040683,-0.000939,-0.010207,-0.003862
4.280000,0.033621,9.787964,0.018043,-0.002590,-0.007543,0.001590
4.290000,0.064298,9.780136,0.065745,0.012620,0.023045,0.002933
4.300000,-0.018830,9.896198,-0.017281,0.003947,-0.002621,-0.004550
4.310000,0.012075,9.774487,-0.040802,-0.001675,0.007183,0.003239
4.320000,-0.119008,9.766725,0.021002,0.003127,0.003302,-0.019941
4.330000,-0.139452,9.850075,0.058607,-0.013283,0.000604,-0.007571
4.340000,-0.055106,9.795476,0.006419,0.014031,-0.000087,0.006575
4.350000,0.026372,9.787092,0.085015,-0.002527,0.001217,0.020101
4.360000,-0.011585,9.726484,-0.043771,0.001143,-0.008070,0.008271
4.370000,-0.026141,9.763934,-0.004043,-0.007959,-0.008771,-0.001126
4.380000,-0.014062,9.779844,0.024012,0.006438,0.013252,-0.004661
4.390000,0.017503,9.795518,0.052691,0.003109,-0.001485,0.016622
4.400000,-0.032081,9.870119,0.001802,0.010872,0.005631,0.007026
4.410000,0.045116,9.790871,0.108003,0.013632,-0.009885,0.000267
4.420000,0.019974,9.851216,-0.034773,0.003396,0.010487,0.002322
4.430000,0.016947,9.870913,0.023288,-0.002320,-0.002152,-0.009481
4.440000,-0.089005,9.806246,-0.017022,-0.019026,-0.002411,-0.011283
4.450000,0.000574,9.771775,0.057943,-0.006017,0.020035,0.004245
4.460000,-0.018992,9.743675,-0.028023,0.012424,-0.008395,0.005994
4.470000,-0.044233,9.762910,0.044488,-0.009158,-0.011880,0.009929
4.480000,0.028508,9.763743,-0.102651,-0.002712,-0.013144,-0.009023
4.490000,0.009646,9.746358,0.007475,-0.005050,0.012206,0.001715
4.500000,-0.026094,9.791036,0.016467,-0.011022,-0.010875,0.000064
4.510000,-0.007988,9.836069,-0.065680,0.005861,0.004573,0.005852
4.520000,-0.079750,9.745453,-0.014968,-0.006822,-0.005142,-0.006972
4.530000,-0.014151,9.881538,-0.081725,-0.004666,0.005533,0.019169
4.540000,-0.010129,9.771575,-0.034214,-0.004637,-0.003198,-0.004970
4.550000,0.052999,9.871836,0.020592,0.006202,0.017593,-0.002136
4.560000,-0.082472,9.831719,0.003032,-0.006205,-0.000804,0.011959
4.570000,0.004127,9.845003,-0.081840,0.001499,0.009218,0.001388
4.580000,0.024052,9.853824,0.060874,0.004653,0.012407,-0.006421
4.590000,-0.010250,9.910315,-0.060788,0.024088,-0.012441,-0.010737
4.600000,0.034465,9.814445,-0.131856,-0.009313,-0.001265,-0.001254
4.610000,0.041007,9.798576,-0.028414,-0.004963,-0.007994,-0.001720
4.620000,-0.075929,9.830587,-0.012934,-0.014758,0.015236,-0.001161
4.630000,0.073397,9.726691,-0.032940,0.003336,-0.016950,0.007924
4.640000,0.025815,9.825174,-0.004953,-0.004895,0.002415,-0.003052
4.650000,0.031629,9.816718,-0.052710,0.001070,-0.006252,-0.002349
4.660000,-0.000046,9.803055,0.022767,-0.004901,0.001652,0.006037
4.670000,0.036549,9.932848,0.067674,0.013730,-0.015900,-0.013017
4.680000,0.038979,9.795236,-0.011551,-0.000134,0.001703,-0.017760
4.690000,0.010905,9.772277,-0.070897,0.016757,-0.008864,0.001617
4.700000,0.011219,9.842252,0.020065,0.001673,0.013160,0.014287
4.710000,-0.002723,9.815649,0.015741,0.001264,-0.005050,-0.007963
4.720000,-0.014211,9.732686,0.062014,0.009833,-0.016086,-0.000543
4.730000,-0.020641,9.826449,0.020731,0.002297,-0.003914,-0.003107
4.740000,0.054718,9.731907,0.045521,-0.014158,0.000435,-0.007481
4.750000,-0.013165,9.874523,-0.032305,0.006499,0.015777,-0.002735
4.760000,0.050869,9.707117,-0.001056,0.000454,-0.010872,0.007281
4.770000,-0.016325,9.823463,-0.071085,-0.019269,-0.004939,-0.006174
4.780000,0.026546,9.786081,0.058352,0.009910,-0.003358,-0.005017
4.790000,0.042944,9.843857,-0.072188,-0.014004,-0.010094,-0.001335
4.800000,0.002094,9.754867,0.005451,0.000603,0.024961,0.006942
4.810000,0.043545,9.813777,-0.007231,-0.005926,-0.002365,0.001040
4.820000,0.072271,9.777917,0.009867,-0.001178,0.026020,0.007724
4.830000,0.000370,9.808666,-0.009270,-0.006310,-0.004521,0.008406
4.840000,-0.001621,9.796103,0.107046,-0.004305,-0.010802,0.000284
4.850000,0.095717,9.757233,0.083234,-0.003020,0.003074,0.005696
4.860000,0.084500,9.912297,-0.043836,0.006484,-0.005946,0.000644
4.870000,-0.091441,9.777603,0.002707,0.013072,0.011468,0.000842
4.880000,0.090162,9.678253,-0.039720,0.003327,0.011382,-0.002130
4.890000,0.036542,9.851738,0.009262,0.001154,0.012164,-0.006917
4.900000,0.037592,9.781293,-0.103625,-0.008471,-0.011207,-0.011281
4.910000,-0.005680,9.853181,-0.006601,0.005499,-0.006337,-0.001303
4.920000,0.033402,9.793797,0.050002,0.008047,0.005171,-0.017744
4.930000,-0.004745,9.745254,-0.005843,-0.002178,0.002483,-0.002378
4.940000,0.038142,9.831519,0.020340,0.000988,0.003234,-0.013977
4.950000,-0.047849,9.833856,-0.047296,0.010650,0.002412,-0.012472
4.960000,0.037502,9.877357,-0.047896,0.007375,-0.012573,-0.001727
4.970000,-0.150690,9.772622,-0.025049,-0.011482,-0.002846,0.012383
4.980000,-0.056546,9.901654,-0.029982,-0.011729,0.008301,0.003621
4.990000,0.068324,9.821543,-0.030781,-0.018440,-0.008139,-0.002332
5.000000,-0.093441,9.846594,0.088819,-0.001234,-0.001961,-0.009193
5.010000,-0.020500,9.823910,-0.041705,0.021265,0.009471,-0.000534
5.020000,-0.013770,9.810442,0.028172,-0.013786,-0.015385,0.012555
5.030000,-0.036533,9.798946,-0.022215,-0.002920,-0.001067,0.002325
5.040000,-0.022415,9.812298,0.061074,-0.008195,0.014771,-0.012641
5.050000,-0.033768,9.713896,0.026326,-0.011688,0.000450,0.006431
5.060000,0.062410,9.795260,-0.078951,0.004729,0.014888,-0.009142
5.070000,-0.075707,9.781360,-0.066414,0.014904,0.009388,-0.007600
5.080000,-0.109151,9.897782,0.005612,-0.005201,0.004283,0.003069
5.090000,-0.146269,9.759579,0.027015,-0.008053,0.002718,-0.000005
5.100000,0.005498,9.792404,0.047065,0.011506,-0.003307,-0.003077
5.110000,-0.003831,9.867802,0.113545,-0.010475,0.007331,-0.005384
5.120000,-0.037882,9.811222,-0.065921,-0.006659,-0.012040,-0.005341
5.130000,-0.121811,9.748320,0.008210,-0.005539,0.006206,-0.011418
5.140000,0.017336,9.818188,0.031098,-0.003007,0.007336,-0.002319
5.150000,0.029017,9.787492,0.056827,-0.002057,0.001725,0.014906
5.160000,0.038755,9.885395,-0.012015,0.016604,-0.002125,0.003331
5.170000,0.011614,9.863674,-0.074732,0.003257,0.002842,0.002148
5.180000,-0.069399,9.765755,0.092887,-0.001061,0.015556,0.015012
5.190000,-0.012996,9.837227,0.043835,0.001965,0.005389,-0.003573
5.200000,0.083933,9.918782,-0.035496,0.008946,-0.000504,-0.024471
5.210000,0.042540,9.766909,-0.051626,-0.025855,-0.002954,0.006406
5.220000,0.075308,9.753883,-0.034739,0.007724,0.017913,0.006399
5.230000,0.019530,9.795242,0.024267,0.006320,-0.012722,0.004839
5.240000,-0.062845,9.755263,-0.096391,-0.008947,0.005444,-0.005156
5.250000,0.021872,9.792739,0.049292,0.000384,-0.000221,-0.016349
5.260000,-0.078483,9.810614,0.010575,-0.005383,-0.006270,-0.003399
5.270000,-0.011467,9.769670,0.089949,-0.004957,0.018795,-0.010844
5.280000,0.029943,9.874048,-0.046867,-0.013061,-0.004055,-0.003346
5.290000,0.110539,9.775749,-0.073652,0.007002,0.001132,0.008375
5.300000,0.058758,9.898579,0.037164,-0.009831,-0.008749,-0.001824
5.310000,-0.092615,9.724240,-0.042767,0.008010,0.007466,-0.004328
5.320000,0.088369,9.780109,0.048260,-0.007895,0.016717,-0.004695
5.330000,-0.018372,9.809857,-0.062988,-0.012410,0.017222,0.000208
5.340000,0.025967,9.795758,-0.057077,0.013531,-0.006360,0.000151
5.350000,0.063104,9.792164,-0.024116,-0.009165,0.011074,0.001908
5.360000,-0.029197,9.899497,0.061519,-0.007893,0.001723,-0.007671
5.370000,0.019792,9.722713,-0.062030,0.016306,0.000672,-0.017085
5.380000,0.051153,9.821338,-0.000006,0.011505,0.007162,0.013842
5.390000,-0.035245,9.880158,0.088841,-0.008675,-0.000883,0.016828
5.400000,0.031755,9.744417,-0.012662,-0.009628,0.001168,0.016127
5.410000,-0.031318,9.865819,0.070847,-0.015566,0.003904,-0.004481
5.420000,-0.042467,9.832225,0.102539,0.001849,-0.004667,0.014305
5.430000,0.036199,9.843855,-0.043851,0.007649,-0.000769,-0.008939
5.440000,-0.065408,9.703158,0.043468,0.002851,0.008524,-0.009471
5.450000,0.008605,9.775103,0.038308,-0.009148,-0.003196,0.008676
5.460000,0.047775,9.720035,0.021839,-0.002823,0.010186,-0.006069
5.470000,-0.088276,9.815030,0.052332,-0.005266,-0.009728,0.006732
5.480000,-0.037198,9.814187,0.041594,0.006084,0.008188,0.003131
5.490000,0.032700,9.816378,0.049880,-0.007158,0.001572,0.010849
5.500000,-0.015695,9.808678,-0.025724,-0.012404,-0.010126,0.006160
5.510000,-0.038678,9.805867,0.077223,0.006586,0.020283,-0.000955
5.520000,-0.007555,9.777159,0.028494,-0.010829,0.008410,-0.015015
5.530000,-0.023888,9.807906,0.001660,-0.000847,0.003360,-0.007935
5.540000,-0.019829,9.834304,-0.015339,-0.013842,0.001883,-0.007075
5.550000,-0.081837,9.799918,0.053909,0.001949,-0.007131,0.002062
5.560000,0.029004,9.865375,0.054231,0.017094,-0.009486,0.001475
5.570000,-0.033067,9.781982,-0.011983,0.000220,0.001456,0.000954
5.580000,-0.029097,9.833803,0.052676,-0.009950,-0.007565,-0.023066
